Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
Ecological Entomology: Insect Life and Environment,"Carl B. Huffaker, R. L. Rabb",Wiley,1999,756,Explores the ecological aspects of insect life and their environments.,"Entomology, Ecology"
Fruits Files of Economic Significance,"Ian M. White, Marlene M. Elson-Harris",C.A.B. International,1992,601,Discusses fruits with significant economic value.,"Agriculture, Botany"
Current Concepts in Forensic Entomology,"Carlo P. Campobasso, Jens Amendt, M.Lee Goff, Martin Grassberger",Springer Netherlands,2010,376,Provides insights into current concepts and methods in forensic entomology.,"Entomology, Forensics"
Introduction to General and Applied Entomology,V.B. Awasthi,Scientific Publishers,2016,499,An introductory text covering both general and applied aspects of entomology.,Entomology
Entomology for Introductory Courses,Robert Matheson,Robert Matheson,1954,629,"offers a clear and engaging overview of insect biology, behavior, and ecology, designed to provide foundational knowledge for students new to the field of entomology.",Entomology
Fruitfiles: Tephritidae,"Allen Norrbom, Martin Aluja",CRC Press,2000,944,Focuses on the Tephritidae family of fruit flies and their impact.,"Entomology, Agriculture"
Pheromones of Non-Lepidopteran Insects Associated with Agricultural Plants,"Hardie Jim, Minks Albert",CABI Pub. CAB International,1999,466,Discusses the role of pheromones in non-lepidopteran insects and their relevance to agriculture.,"Entomology, Pest Management"
Insects and Pollution,K. Heliovaara,Academic Press,2011,338,"Investigates the relationship between insects and pollution, exploring how various pollutants affect insect populations and ecosystems.","Entomology, Environmental Science"
Insects Pathogens: Molecular Approaches,S. Patricia Stock,CABI,2009,417,"Focuses on molecular techniques and approaches to study pathogens affecting insects, highlighting advancements in understanding and managing these diseases.","Entomology, Molecular Biology"
Insects Plant Interaction Vol-II, Elizabeth A. Bernays,Taylor & Francis Group,2017,206,"Continues the exploration of insect-plant interactions, delving into advanced topics and research on how insects affect and are affected by plant systems.","Entomology, Botany"
Insects Biodiversity: Sec & Society,"Peter H. Adler, Robert G. Foottit",Wiley,2009,656,Discusses the biodiversity of insects and their role in society.,"Entomology, Biodiversity"
Handbook of Bioenergy and Biofuels,V. K. Mutha,SBS Publishers & Distributors,2010,701,Comprehensive guide on bioenergy and biofuels technologies and applications.,"Energy, Biofuels"
"Bioenergetics: Conservation, Conservation Results & Problems",Günter Schäfer,Springer-Verlag Berlin and Heidelberg GmbH & Co. K,2008,312,"Focuses on bioenergetics, conservation issues, and research findings.","Bioenergetics, Conservation"
Green Energy: Sustainable Electric Supply with Low Environmental Impact,Eric Jeffs,CRC Press,2017,236,"Examines sustainable methods for generating electric power with minimal environmental impact, focusing on green energy technologies and practices that support a low-carbon future.","Green Energy, Sustainability"
"Pyrolysis Oils from Biomass: Producing, Analyzing, Upgrading","Ed J. Soltes, Thomas A. Milne",American Chemical Society,1988,353,"Details the process of producing, analyzing, and upgrading pyrolysis oils from biomass.","Bioenergy, Biomass"
Technology of Bio-fuels (Ethanol & Byproduct),Eiri Board,Engineers India Research Institute,2010,310,Discusses technologies related to ethanol production and its byproducts.,"Biofuels, Technology"
New Frontiers in Bio-fuels,P. B. Sharma,Scitech Publications,2009-01-01,547,"Explores cutting-edge advancements and innovative approaches in the bio-fuels sector, focusing on new technologies, emerging feedstocks, and future trends in bio-fuel production and applications.","Biofuels, Technology"
"Technology, Environment, and Sustainable Development",,,,,Explores the intersection of technology and environmental sustainability.,"Environmental Science, Technology"
Green Energy: Biomass Processing & Technology,"Ajit Varma, Basant Behera",Capital Publishing,2003,316,Focuses on the processing and technology involved in biomass for green energy.,"Green Energy, Biomass"
"Bio-fuels: Production, Application & Development",Alan H. Scragg,CABI,2009,237,"Provides a comprehensive overview of bio-fuels, their production processes, applications, and development trends, including bio-ethanol, bio-diesel, and biogas.","Biofuels, Agriculture"
Biodiesel Production Technologies,Jorge Mario Marchetti,Nova Science Publishers,2010,166,"Focuses on various technologies for converting feedstocks into biodiesel, covering both conventional and emerging methods, technical challenges, and environmental impacts.","Biofuels, Technology"
Biofuels in India: A New Revolution,Kumari Swarnim,Manglam Publications,2010,302,Analyzes the biofuels sector in India and its revolutionary aspects.,"Biofuels, India"
"Biofuels: Global Impact on Renewable Energy Production, Agriculture, and Technological Advancement","Prakash Lakshmanan, David Songstad",Springer New York,2010,357,"Examines the global impact of biofuels on renewable energy, agriculture, and technological advancements.","Biofuels, Renewable Energy"
"Biofuel: Biotechnology, Chemistry and Sustainable Development - Mousdale, D.M.",D.M. Mousdale,CRC Press,2008,424,"Covers the biotechnology, chemistry, and sustainable development aspects of biofuels.","Biofuels, Biotechnology"
"Biofuel: Potential and Challenges – Pandey, A.K",A.K. Pandey,Scientific Publishers ltd,2011,328,"Analyzes the potential of biofuels as a renewable energy source and the various challenges associated with their production, including technological, economic, and environmental factors.","Biofuels, Technology"
Biofuel from Agricultural Waste and Byproduct (1),"Hans P. Blaschek, Thaddeus C. Ezeji, Jürgen Scheffran",Wiley,2016,276,Examines the production of biofuels from agricultural waste and byproducts.,"Biofuels, Agriculture"
Biofuel from Agricultural Waste and Byproduct (2),"Hans P. Blaschek, Thaddeus C. Ezeji, Jürgen Scheffran",Wiley,2016,276,Examines the production of biofuels from agricultural waste and byproducts.,"Biofuels, Agriculture"
Soil Quality and Biofuel Production - Rattan Lal,Rattan Lal Vishnu,CRC Press,2009,222,"Examines the relationship between soil quality and biofuel production, focusing on how soil health impacts biofuel crop yield and sustainability, and discussing practices to enhance soil quality for optimal biofuel production.","Biofuels, Soil Science"
Algae Biofuel – Bhatnagar (1),"Atul Saxena, Dr. S. K. Bhatnagar, Stefan Kraan",Studium Press (India) Pvt. Limited,2011,344,Focuses on algae as a source for biofuels.,"Biofuels, Algae"
Algae Biofuel – Bhatnagar (2),"Atul Saxena, Dr. S. K. Bhatnagar, Stefan Kraan",Studium Press (India) Pvt. Limited,2011,344,Focuses on algae as a source for biofuels.,"Biofuels, Algae"
Biofuel Plants: Cultivation Practices and Seed Bank,Mehla Satish Kumar,Pointer Publishers,2007,163,Covers cultivation practices and seed bank management for biofuel plants.,"Biofuels, Agriculture"
"Agricultural Microbiology - Trivedi, P.C.",P.C. Trivedi,Sampat Nehra,2014,158,"Covers the role of microorganisms in agriculture, including their impacts on soil health, plant growth, and crop protection, as well as their use in sustainable farming practices and biofertilizers.","Microbiology, Agriculture"
"Fungal Diseases and Their Management in Horticultural Crops - Reddy, P.P.",PARVATHA P. REDDY.,PARVATHA P. REDDY.,2010,359,Provides information on fungal diseases affecting horticultural crops and their management.,"Plant Pathology, Horticulture"
Molecular Biology of Plant Pathogens - Gangawane,"Laxman Vithalrao Gangawane, Vikram Chandrakantrao Khilare",Daya Publishing House,2010,378,Covers the molecular biology aspects of plant pathogens.,"Molecular Biology, Plant Pathology"
"Fungi in the Environment - Gadd, G.M.",G.M. Gadd,Cambridge University Press,1970-12-02,,"Explores the diverse roles of fungi in different environments, including their contributions to nutrient cycling, ecosystem functioning, and interactions with other organisms and pollutants.","Mycology, Environmental Science"
"Microbial Ecology - Van, J.",Atlas bartha ,Person education,2003,,"Provides an overview of microbial ecology, exploring the roles of microorganisms in various environments, their interactions with each other and their habitats, and their impact on ecological processes and systems.","Microbiology, Ecology"
"Patterns in Fungal Development - Siu-Wai, D.",D. Siu-Wai,Cambridge University Press,1996,226,Discusses developmental patterns in fungi.,"Mycology, Developmental Biology"
"Plant Pathogen Interaction - Talbot, N.J.",N.J. Talbot,Blackwell,2004,248,"Examines the complex interactions between plants and pathogens, focusing on mechanisms of disease, host defense responses, and the molecular dialogue between plants and their microbial attackers.","Plant Pathology, Molecular Biology"
Molecular Plant-Microbe Interactions,"Fouad Daayf, Kamal Bouarab, Normand Brisson",CABI,2009,352,Covers molecular interactions between plants and microbes.,"Molecular Biology, Plant Pathology"
Environmental Impact of Genetically Modified Crops,"A. M. R. Gatehouse, Natalie Ferry",CABI,2009,440,"Analyzes the environmental impact of genetically modified crops, focusing on ecological and health concerns.","Environmental Science, Biotechnology"
Practical Handbook of Microbiology,"Emanuel Goldman, Lorrence H. Green",CRC Press,2008,874,A practical guide covering various aspects of microbiology.,Microbiology
Botanical Pesticide for Pest Management,"D.A. Dodia, I.S. Patel, G.M. Patel",Scientific Publishers,2010,354,Discusses botanical pesticides and their use in pest management.,"Botany, Pest Management"
Biotechnical as Eco-Friendly Pesticide,"P.P. Mahulikar K.M. Chavan P P Mahulikar (Author)
",Zaccheus Entertainment,2007,274,Focuses on biotechnical approaches to eco-friendly pest control.,"Biotechnology, Pest Management"
Molecular Biology of Plant Pathogens,"Laxman Vithalrao Gangawane, Vikram Chandrakantrao Khilare",Daya Publishing House,2010,378,Discusses the molecular biology of plant pathogens.,"Molecular Biology, Plant Pathology"
Agri-Horticultural Biodiversity of Temperate and Cold Arid Regions - Zeerak,"Nazir Ahmed Zeerak, Shafiq A. Wani",New India Pub. Agency,2012,286,Covers agricultural and horticultural biodiversity in temperate and cold arid regions.,"Biodiversity, Agriculture"
"Micropropagation: Technology and Application - Debergh, P.C.","P. Debergh, Richard H. Zimmerman",Springer Netherlands,2012,484,Details technology and applications of micropropagation in plants.,"Plant Science, Biotechnology"
Plant Physiology under Changing Environment - Hemantaranjan,Hemantaranjan,Scientific Publishers,2011,431,Examines how changing environments affect plant physiology.,"Plant Physiology, Environmental Science"
"Seed Physiology of Crops - Prakash, M.",M. Prakash,Satish Serial Publishing House,2011,219,Describes physiology of crops.,"Seed Science, Agriculture"
"Transgenic Horticultural Crops - Mou, B.","Beiquan Mou, Ralph Scorza",CRC Press,2011,364,Covers the development and use of transgenic crops in horticulture.,"Biotechnology, Horticulture"
"Valuing Crop Biodiversity - Smale, M.",Melinda Smale,CABI Pub.,2005,334,Discusses the valuation and importance of crop biodiversity.,"Biodiversity, Agriculture"
"Environment and Agriculture - Chadha, K.L.","K. L. Chadha, Monkombu Sambasivan Swaminathan",Malhotra Publishing House,2006,900,Examines the relationship between environmental factors and agricultural practices.,"Environmental Science, Agriculture"
"Novel Biotechnology for Biocontrol Agent Enhancement and Management - Uurro, M.","Jonathan Gressel, Maurizio Vurro",Springer Netherlands,2007,374,Explores novel biotechnological approaches to enhancing and managing biocontrol agents.,"Biotechnology, Biocontrol"
Soil Testing  And Analysis,"Patiram Brajendra
",Publisher:Nipa Genx Electronic Resources and Solns Pvt Limited,2007,234,Provides techniques and methodologies for soil testing and analysis.,Soil Science
Technology Environment & Sustainable development,,,,,Covers technologies and environment development,"Technology, Rural Development"
Bioinformatics, S.k.agarwal,"S. K. Agarwal, John J. Henry, Pennsylvania Transportation Institute",1980,70,Examines the application of computational and statistical methods to analyze biological data.,Bioinformatics
Water Conservation and Utilisation in Agriculture Production,Subhash Chandra,One Point Six Technology Pvt Ltd,2019-01-23,393,Discusses methods and practices for conserving and utilizing water in agricultural production.,"Water Management, Agriculture"
Contemporary Statistical Models for the Plant and Soil Sciences,"Oliver Schabenberger, Francis J. Pierce",CRC Press,2001,760,"Presents statistical models relevant to plant and soil sciences, focusing on contemporary approaches.","Statistics, Plant Science"
Introductory Biometry: Statistics and Research Pathology,,,,,"Introduces biometry, covering statistical methods and their application in research pathology.","Biometry, Statistics"
Basic Statistics,B L Agarwal,New Age International,2006,788,Covers fundamental concepts and techniques in statistics.,Statistics
The Tao of Physics,Fritjof Capra,Shambhala,2010,416,"Explores the parallels between modern physics and Eastern mysticism, particularly the Taoist philosophy.",Science/Philosophy
The Complete Works of Swami Vivekananda Vol - 1,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The first volume of Swami Vivekananda's collected writings, including his speeches and letters.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 2,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The second volume of Swami Vivekananda’s complete works, continuing from the first volume.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 3,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The third volume of Swami Vivekananda’s collected writings, further expanding his literary contributions.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 4,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The fourth volume, including more of Swami Vivekananda’s significant teachings and discourses.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 5,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The fifth volume of the complete works, featuring additional writings by Swami Vivekananda.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 6,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The sixth volume, continuing the series of Swami Vivekananda’s complete works.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 7,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,"The seventh volume, presenting more of Swami Vivekananda’s teachings and insights.","Spiritual, Philosophy"
The Complete Works of Swami Vivekananda Vol - 8,Swami Vivekananda,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)",,,The eighth and final volume of the complete works of Swami Vivekananda.,"Spiritual, Philosophy"
श्रीमदभगवदृ गीता (Bhagavad Gita),,Unknown,,Varies,A sacred Hindu scripture consisting of a dialogue between Prince Arjuna and Lord Krishna on duty and righteousness.,"Spiritual, Philosophy"
Your Secret Journey,Radheshyam Das,VOICE Publication,,,A guide to personal spiritual exploration and self-discovery.,"Self-help, Spiritual"
Life Beyond Death,Swami Abhedananda,Vedanta Pr,1986,240,Discusses concepts related to life after death from various spiritual perspectives.,"Spiritual, Philosophy"
The Mother as I Saw Her,"Swami Saradeshananda, J. N. Dey",Sri Ramakrishna Math,2010,238,Reflections and personal experiences related to The Mother of the Sri Aurobindo Ashram.,"Spiritual, Biography"
The Gospel of the Holy Mother,Devi Sarada,Sri Ramakrishna Math,1984,409,"A collection of teachings, discourses, and spiritual insights of Holy Mother Sri Sarada Devi.","Spiritual, Biography"
Vedic & Aryan India,Harbans Singh Bhatia,Deep & Deep Publications,2001,380,"Explores the history, culture, and philosophical foundations of Vedic and Aryan India.","History, Vedic Studies"
Buddhist Shrines in India,D. C. Ahir,India. Ministry of Information and Broadcasting,1986,132,"A guide to significant Buddhist shrines in India, detailing their historical and spiritual importance.","History, Religion"
Rival Hindu Kingdoms & Sultans,Harbans Singh Bhatia,Deep & Deep Publications,2001,384,Examines the historical conflicts and interactions between various Hindu kingdoms and Sultans.,"History, Politics"
Shri Ramakrishna: The Great Master,"Swami Jagadananda, Swami Saradananda",Sri Ramakrishni Math,1978,1081,"A comprehensive account of the life, teachings, and spiritual legacy of Shri Ramakrishna.","Biography, Spiritual"
उपनिषदों का संदेश (Message of the Upanishads),Sarvepalli Radhakrishnan,Author,2004,160,Discusses the core messages and philosophical teachings of the Upanishads.,"Spiritual, Philosophy"
उपनिषदों में क्या है (What is in the Upanishads?),Paṅkaja Dīkṣita,Pustak Mahal,2000,218,"Explores the content, themes, and insights found in the Upanishads.","Spiritual, Philosophy"
आस्था के पार (Beyond Faith),Vidiadhar Surajprasad Naipaul,Prabhat Prakshan,2003,499,Delves into spiritual concepts and experiences that go beyond traditional notions of faith.,"Spiritual, Philosophy"
The Laws of Nature, A. C. Bhaktivedanta Swami Prabhupada,The Bhaktivedanta Book Trust,1991,121,Analyzes the fundamental principles and laws governing natural phenomena and their implications.,"Science, Philosophy"
The Adi Buddha,Kanai Lal Hazra,B.R. Publishing Corporation,1986,227,"Examines the concept of the Adi Buddha, an important figure in certain Buddhist traditions.","Religion, Philosophy"
श्रीराम कृष्ण देव (Shri Ram Krishna Dev),,Unknown,,,"Provides insights into the life and teachings of Shri Ram Krishna Dev, focusing on his spiritual impact.","Biography, Spiritual"
The Gita According to Gandhi,Mahatma Gandhi,Sumaiyah Distributors Pvt Limited,2019,222,Presents Mahatma Gandhi's interpretation of the Bhagavad Gita and its influence on his philosophy.,"Philosophy, Spiritual"
श्रीराम कष्ण लीला प्रसंग (Shri Ram Krishna Leela Prasang),,Unknown,,,Describes the divine pastimes and life events of Shri Ram Krishna.,"Spiritual, Biography"
श्रीराम कृष्ण वचनामृत (Shri Ram Krishna Vachanamrit),Sri M,"Ramakrishna Math, Nagpur",2018,693,"A collection of the sayings and teachings of Shri Ram Krishna, capturing his spiritual wisdom.","Spiritual, Biography"
"World Thinkers on Rama, Krishna & Vivekananda",Lokeśvarānanda (Svāmī.),Ramakrishna Mission Institute of Culture,1983,68,"Compilation of thoughts and analyses from various world thinkers on Rama, Krishna, and Vivekananda.","Spiritual, Philosophy"
God Lived with Them,Swami Chetanananda,Advaita Ashrama,2001,655,"Explores the life and teachings of Sri Ramakrishna, highlighting his divine presence and impact on his followers.","Spiritual, Biography"
Ramakrishna as We Saw Him,Swami Chetanananda,Vedanta Society of St. Louis,2009,495,A personal account and reflections on the life and teachings of Ramakrishna.,"Spiritual, Biography"
History of Religion,Allan Menzies,Outlook Verlag,2020,296,Provides an overview of various religions and their historical development.,"Religion, History"
Methods of Knowledge,Walter Smith,Repro India Limited,2023,366,Discusses different methods and approaches to acquiring knowledge.,"Philosophy, Epistemology"
Sri Ramakrishna: The Great Master,"Swami Jagadananda, Swami Saradananda",Sri Ramakrishni Math,1978,1081,"A comprehensive biography of Sri Ramakrishna, detailing his life, teachings, and spiritual influence.","Biography, Spiritual"
Strive to Attain God,Swami Virajananda,Advaita Ashrama,1994,246,Emphasizes the importance of striving for spiritual realization and union with God.,"Spiritual, Self-help"
आनंद धाम की ओर (Towards Anand Dham),,Unknown,,,"Describes the journey towards Anand Dham, a spiritual abode of bliss.","Spiritual, Biography"
Spiritual Treasures,B. K. Nirwair,Om Shanti Press,1992,211,A collection of spiritual insights and teachings.,"Spiritual, Philosophy"
The Gospel of Sri Ramakrishna,"Ramakrishna, Mahendra Nath Gupta",Ramakrishna-Vivekananda Center,1988,622,"The teachings and dialogues of Sri Ramakrishna as recorded in ""The Gospel of Sri Ramakrishna"".","Spiritual, Biography"
तुलसी लोक यज्ञ प्रथम मास (Tulsi Lok Yajna First Month),Harihar Prasad Chaturvedi,Tirumala Tirupati Devasthanams,1990,270,Describes the events and rituals of the first month of the Tulsi Lok Yajna.,"Religious, Ritual"
तुलसी लोक यज्ञ द्वितीय मास (Tulsi Lok Yajna Second Month),Harihar Prasad Chaturvedi,Tirumala Tirupati Devasthanams,,,Continues with the events and rituals of the second month of the Tulsi Lok Yajna.,"Religious, Ritual"
भारत के महान संत (Great Saints of India),अनीता गौड़,पेंगुइन बुक्स इंडिया,2019,64,Profiles and explores the lives of some of India's great saints.,"Spiritual, Biography"
वैदिक मंत्रों में रामजी करण की स्वयंस्तिद्धियाँ (Ramji’s Self-Accomplishments in Vedic Mantras),YATINDRA NATH CHATURVEDI,"TIRUMALA TIRUPATI DEVASTHANAMS, TIRUPATI",1996,226,Discusses Ramji’s self-accomplishments and their reflections in Vedic mantras.,"Vedic Studies, Spiritual"
Rama Krishna and Its Disciples,Christopher Isherwood,Vedanta Pr,1965,340,Examines the life and contributions of Rama Krishna and his disciples.,"Spiritual, Biography"
वाराही मंदिर देवीधूरा (Varahi Temple Devi Dura),Heera Vallabh Joshi,Takshila Prakashan,2006,143,Details the significance and history of the Varahi Temple Devi Dura.,"Religious, Historical"
मृत्यु की पराजय (Victory Over Death),Radheshyam Das,"Vedic Oasis for Inspiration, Culture and Education (VOICE)",2016,508,Focuses on the concept of overcoming death from a spiritual perspective.,"Spiritual, Philosophy"
Holy Mother Sri Sarada Devi,Swami Gambhirananda,Sri Ramakrishna Math,1948,540,"Biographical account of Holy Mother Sri Sarada Devi, a prominent figure in the Ramakrishna tradition.","Spiritual, Biography"
Victory Over Death,Radheshyam Das,"Vedic Oasis for Inspiration, Culture and Education (VOICE)",2016,508,Explores the concept of victory over death and its spiritual implications.,"Spiritual, Philosophy"
The Life of Swami Vivekananda,Swami Nikhilananda,Adavaita Ashrama,1951,765,"Chronicles the life, teachings, and influence of Swami Vivekananda.","Biography, Spiritual"
The Life of Swami Vivekananda (2),Swami Nikhilananda,Adavaita Ashrama,1953,765,Another detailed account of Swami Vivekananda's life and contributions.,"Biography, Spiritual"
Sri Sarada Devi,Swami Tapasyananda,‎ Sri Ramakrishna Math,2010,358,Provides insights into the life and teachings of Sri Sarada Devi.,"Biography, Spiritual"
